"TID","CommonName","Subspecies","Longitude","Latitude","taxa","Year","Count","cv","Units","Region"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",1998,5.97053402061856e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",1999,3.84574120879121e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",2000,4.61913698630137e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",2004,1.01133333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",2006,3.17733333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",2008,4.64e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP109","Protomyctophum andriashevi",NA,NA,NA,"Unexploited small pelagics",2009,1.5815e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP11","Bathylagus tenuis",NA,NA,NA,"Unexploited small pelagics",1998,1.899e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP11","Bathylagus tenuis",NA,NA,NA,"Unexploited small pelagics",1999,4.10775606060606e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP11","Bathylagus tenuis",NA,NA,NA,"Unexploited small pelagics",2000,2.99591707317073e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP11","Bathylagus tenuis",NA,NA,NA,"Unexploited small pelagics",2004,5.96933636363636e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP11","Bathylagus tenuis",NA,NA,NA,"Unexploited small pelagics",2006,1.257e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",1991,0.000109814461538462,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",1996,0.000118805,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",1998,0.000161000606896552,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",1999,0.000160909457236842,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2000,0.00017664712244898,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2003,0.000708694,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2004,0.000127709484375,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2005,0.000459453777777778,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2006,0.000395356466666667,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2008,0.00263055794871795,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2009,0.0002161905,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2011,0.029185908,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2013,0.0002672396,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2014,0.001109583,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2016,7.44083333333333e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP110","Protomyctophum bolini",NA,NA,NA,"Unexploited small pelagics",2019,0.000179369,NA,"Counts per m3","Antartica continental shelf"
"MUSP111","Protomyctophum choriodon",NA,NA,NA,"Unexploited small pelagics",1991,5.8989e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP111","Protomyctophum choriodon",NA,NA,NA,"Unexploited small pelagics",1998,2.53880612244898e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP111","Protomyctophum choriodon",NA,NA,NA,"Unexploited small pelagics",1999,1.53904761904762e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP111","Protomyctophum choriodon",NA,NA,NA,"Unexploited small pelagics",2000,1.04977777777778e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP111","Protomyctophum choriodon",NA,NA,NA,"Unexploited small pelagics",2004,6.67688965517241e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP111","Protomyctophum choriodon",NA,NA,NA,"Unexploited small pelagics",2008,6.97398333333333e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP111","Protomyctophum choriodon",NA,NA,NA,"Unexploited small pelagics",2009,2.1466e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP111","Protomyctophum choriodon",NA,NA,NA,"Unexploited small pelagics",NA,NA,NA,"Counts per m3","Antartica continental shelf"
"MUSP112","Protomyctophum gemmatum",NA,NA,NA,"Unexploited small pelagics",1991,1.2e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP112","Protomyctophum gemmatum",NA,NA,NA,"Unexploited small pelagics",1998,7.76333333333333e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP112","Protomyctophum gemmatum",NA,NA,NA,"Unexploited small pelagics",1999,5.40416666666667e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP112","Protomyctophum gemmatum",NA,NA,NA,"Unexploited small pelagics",2000,4.49e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP112","Protomyctophum gemmatum",NA,NA,NA,"Unexploited small pelagics",2006,2.7e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP112","Protomyctophum gemmatum",NA,NA,NA,"Unexploited small pelagics",2008,1.04e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP113","Protomyctophum luciferum",NA,NA,NA,"Unexploited small pelagics",1998,4.15692857142857e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP113","Protomyctophum luciferum",NA,NA,NA,"Unexploited small pelagics",1999,1.04313636363636e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP113","Protomyctophum luciferum",NA,NA,NA,"Unexploited small pelagics",2000,5.95e-06,NA,"Counts per m3","Antartica continental shelf"
"MUSP113","Protomyctophum luciferum",NA,NA,NA,"Unexploited small pelagics",2006,1.52e-05,NA,"Counts per m3","Antartica continental shelf"
"MUSP114","Protomyctophum normani",NA,NA,NA,"Unexploited small pelagics",1999,1.21147058823529e-05,NA,"Counts per m3","Antartica continental shelf"
