eventID,occurrenceID,phylum,class,order,family,scientificName,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceRemarks,rightsHolder,reference
AMLR2004_A1210_2176_1,AMLR2004_A1210_2176_1_234788,Chordata,Actinopteri,Perciformes,Nototheniidae,Lepidonotothen squamifrons,HumanObservation,4,0.001133567,n_m3,NA,NA,NA
AMLR2004_A1212_2177_1,AMLR2004_A1212_2177_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,7,0.001625969,n_m3,NA,NA,NA
AMLR2004_A1309_2179_1,AMLR2004_A1309_2179_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.000253694,n_m3,NA,NA,NA
AMLR2004_A1309_2179_1,AMLR2004_A1309_2179_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,14,0.003551714,n_m3,NA,NA,NA
AMLR2004_A1311_2180_1,AMLR2004_A1311_2180_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,2,0.000432409,n_m3,NA,NA,NA
AMLR2004_A1311_2180_1,AMLR2004_A1311_2180_1_234695,Chordata,Actinopteri,Aulopiformes,Paralepididae,Notolepis coatsi,HumanObservation,1,0.000216204,n_m3,NA,NA,NA
AMLR2004_A1313_2181_1,AMLR2004_A1313_2181_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,1,0.000276854,n_m3,NA,NA,NA
AMLR2004_A1406_2182_1,AMLR2004_A1406_2182_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,23,0.006542829,n_m3,NA,NA,NA
AMLR2004_A1406_2182_1,AMLR2004_A1406_2182_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,1,0.000284471,n_m3,NA,NA,NA
AMLR2004_A1408_2183_1,AMLR2004_A1408_2183_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,2,0.000572456,n_m3,NA,NA,NA
AMLR2004_A1410_2184_1,AMLR2004_A1410_2184_1_217697,Chordata,Actinopteri,Myctophiformes,Myctophidae,Electrona antarctica,HumanObservation,1,0.000254373,n_m3,NA,NA,NA
AMLR2004_A1410_2184_1,AMLR2004_A1410_2184_1_313400,Chordata,Actinopteri,Perciformes,Nototheniidae,Nototheniops larseni,HumanObservation,35,0.008903065,n_m3,NA,NA,NA
AMLR2004_A1412_2185_1,AMLR2004_A1412_2185_1_234695,Chordata,Actinopteri,Aulopiformes,Paralepididae,Notolepis coatsi,HumanObservation,1,0.000237343,n_m3,NA,NA,NA
