"Group","Year","estimate","conf.low","conf.high","n_stocks","fraction","Abundance_Index","Upper_Bound","Lower_Bound"
"turtle",1956,1.09130275721024,0.397792300996141,1.88102656336399,1,0.00328947368421053,3.29156832384319,7.25062702639178,1.64518639718685
"turtle",1957,1.06912162434092,0.408663297699222,1.86629354016429,1,0.00328947368421053,3.21936138582291,7.1445864375355,1.66316877920041
"turtle",1958,1.02743118826651,0.388034879959802,1.78162445626955,1,0.00328947368421053,3.08790410138163,6.56456236986846,1.62921168357177
"turtle",1959,0.959759031481571,0.358593965823038,1.6606411000554,1,0.00328947368421053,2.8858527002748,5.81652199770985,1.5819453976417
"turtle",1960,0.874212179861731,0.314628945572589,1.55607626757634,1,0.00328947368421053,2.64924201769105,5.2390367533484,1.51390186376136
"turtle",1961,0.773270514055995,0.263472463990623,1.41006742479358,1,0.00328947368421053,2.39487707104978,4.52731393344289,1.43840354913719
"turtle",1962,0.646911845667192,0.166326898971236,1.23045243796505,1,0.00328947368421053,2.11060204005222,3.78298668566374,1.30524176889031
"turtle",1963,0.496276481650762,0.0496199651476693,1.00772145987035,1,0.00328947368421053,1.81545816762246,3.02763821333435,1.16146408706938
"turtle",1964,0.320068365164547,-0.0665783779781229,0.757639398327298,2,0.00657894736842105,1.52215904800531,2.35773352421179,1.03404987525952
"turtle",1965,0.157653672170557,-0.17513454055578,0.516113674658331,4,0.0131578947368421,1.29397006269044,1.85183133973628,0.927675622153709
"turtle",1966,0.0269290041684275,-0.27500079426633,0.38387447944827,4,0.0131578947368421,1.13540610912205,1.62244759087401,0.839507888281233
"turtle",1967,-0.0568550241386674,-0.356548875228948,0.295823069289535,7,0.0230263157894737,1.04415334830458,1.48569764634121,0.773764676564285
"turtle",1968,-0.163488165786172,-0.452317949182591,0.155534996616842,8,0.0263157894736842,0.938542839120964,1.29123146207888,0.703099710854517
"turtle",1969,-0.274419595125636,-0.543242151217921,0.00612299240379468,9,0.0296052631578947,0.83999595136169,1.1120268937529,0.641991148316526
