"sp","cruise","wbiom","wabun","wCV","area","year","spname","sciName"
"SPRA-SPR","PELGAS2002",77811.510876,5925461.19306,169928055439779,21154,2002,"Sprat","Sprattus sprattus"
"SPRA-SPR","PELGAS2015",91247.5307621516,10475867.0951485,338961463811692,22035.9773852975,2015,"Sprat","Sprattus sprattus"
"SPRA-SPR","PELGAS2018",16320.8666012591,1566437.60033401,937711025480544,20823.8294958782,2018,"Sprat","Sprattus sprattus"
"SPRA-SPR","PELGAS2014",33893.8048244018,2783184.46049076,276031809242421,20648.1234028111,2014,"Sprat","Sprattus sprattus"
"SPRA-SPR","PELGAS2000",30034.205432,2410515.168,229435688158401,19922.6,2000,"Sprat","Sprattus sprattus"
"TRAC-MED","PELGAS2013",521.880662797116,5058.85907791908,176767517664697,22465,2013,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2001",5744.5489409,15827.54787,498810326031762,21300,2001,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2003",771.675229952,1077.950373705,264519985516505,19950,2003,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2011",8063.95263799074,75901.8913535324,45105595508116,23850,2011,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2007",405.489133002,2196.42700878,257692633915232,16650,2007,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2002",11859.75409839,40043.64819499,155194551949652,21154,2002,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2016",10317.0667026278,237303.624436799,15083843679261,22773.6791553381,2016,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2017",18985.0250207152,231986.934584048,472255343674657,24194.9348090436,2017,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2009",2.13200205895058,2.67150650704864,454312121513494,21600,2009,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2006",194.577588592,1105.562442995,289230126336118,15600,2006,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2015",22189.7631254206,2876951.39530781,218313559266069,22035.9773852975,2015,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2019",70792.392926119,181950.502429149,96981266457599,23282.6441426942,2019,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2010",2853.313948029,3973.967753817,16255845734566,24264.5,2010,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2008",154.66921179,1340.0389965,333456206435467,19500,2008,"Med. horse mackerel","Trachurus mediterraneus"
"TRAC-MED","PELGAS2018",31490.8183563395,71105.768200694,456467369382378,20823.8294958782,2018,"Med. horse mackerel","Trachurus mediterraneus"
